nitrogen,pm10
6.7,17.8
5.4,22.2
4.4,22.5
3.9,24.7
3.4,25.4
9.3,19.2
6.2,17
4.8,16.2
7.7,22.1
4.8,34.4
12.3,31.1
5.5,25.1
9.7,24.5
13.8,30.9
9.8,28.9
9.1,23.8
15.4,30.6
13.1,29.2
17,39.9
11.9,30.7
10.4,30.1
9.6,30.7
5,24.6
7.9,25.6
4.7,35.6
4.9,18.9
21.5,33.6
17.2,27.6
7.5,18.7
9.7,20.9
11.1,15.6
11.3,24.8
5,20.6
9.3,22.3
10.8,23
12.6,25.6
7.3,33.6
2.2,15.7
1.5,16.2
13.8,29.2
14.1,30.9
18.1,32.5
14.7,38.6
21.1,42.1
13.4,28.5
9.2,24.2
9.8,25.1
12,28.2
14.8,30.7
3.9,40.4
17.3,37.3
20.3,40.5
20.7,44
29.9,47.6
16.2,33.4
12.7,25.3
16.9,33
19.2,36.7
20.6,45.1
21.6,44
15.1,36.6
11.9,29.7
9.9,31.5
4,26.1
5.2,22.6
7.4,28
12.8,24.9
10.9,21.4
6.2,23.7
10.7,21
7.5,17.9
10.4,19.7
10.8,20.9
11.2,24.4
16.5,32.9
17.6,33.5
25.8,33.4
4.3,53.4
8.5,26.1
7.6,23.9
18.5,28.6
15.3,34.2
6.9,21
21.9,38.8
10.2,25.8
3,23.3
10.6,23.5
1,33
1.2,35.2
1.8,18.6
15.3,23.5
15.2,35
14.9,35.1
8.4,38.9
8.7,29.9
5.8,32.9
10.9,43
19.2,48.8
8.7,44.6
4.5,31
0.7,25.1
9.1,29
17.8,42.4
16.4,43
6.7,28.1
4.2,31.3
5.4,27.4
2.4,29.5
4,30.6
4.3,33.7
6.8,30.2
6.6,27.4
9,29.9
3.3,31.5
3.8,20.3
14.7,28.5
10.2,31
2.3,14.4
2.7,15.6
3.2,16.2
3.8,16.6
8,22.5
10.2,28.6
9.3,31.2
2.7,21.8
3.5,24.3
8.1,24.6
15.8,38.3
7.4,34.5
6.6,36.3
3,23.4
10.8,28.7
18.2,40.2
15.9,39
6.1,20.6
2.5,33.5
10.4,24.7
21,37.1
20,46.1
9.6,30.3
8,26.5
6.1,26.8
10.7,26.6
14,30
2.7,35.3
20.2,40.5
11.7,47.2
0.5,58
4.8,31.1
12.6,32.4
6.5,36.7
12.5,35.4
10.6,29.7
13.8,28.5
12.3,24.3
13.6,28.7
9.1,21.4
16.1,25.7
14.1,26
13,25
15.1,23
21.1,35.4
16.2,25.7
7.2,25.4
19.2,39.7
21.2,39.2
13.4,28
27,42.7
14.5,30.9
4.5,25.4
5.6,26
14.2,32
16.1,37.2
14.9,46.5
13.7,36.9
9.1,26.8
17.8,40.3
30,47.9
34.8,59.1
4.6,34.7
12.6,35.8
17.5,39.2
5.1,51.1
2.9,19.3
3.8,17.1
7.2,21
8,30.6
7,19.2
6.2,20.1
7.9,22.2
5.6,26.3
10.6,28.4
12.4,31.6
15.8,38.2
12.9,34.8
4.6,26.9
0.9,22
0.2,17.5
2,22.1
3.3,23.2
2.6,24.1
6.1,18.3
4.2,18.1
6.4,23.9
15.5,27
20.8,36.4
7.5,29
0.6,26.2
13.1,32.4
22.2,42.5
10.1,30.9
8.1,26.3
5.9,26.2
5,22.5
6.4,37.4
7.2,26.6
6.4,26.5
3.3,24.5
1.7,28.7
9.4,17.6
6.9,17.7
18.7,40.9
18.7,38.3
7,16.6
5.5,14.6
7.5,20.4
1.8,18.3
2.6,18.1
3.5,18.2
4.7,14.8
3.2,16.7
3.6,17.7
3.2,16.2
9.2,21.2
8.7,17.2
10.4,19
14.8,22.3
20.3,30
18.3,26.6
17.4,35.5
16.9,37.1
7.7,22.2
7.9,19.8
11.1,18.8
15.5,25.3
8.9,18.1
10.9,24.9
11.7,27.9
12.3,25.1
16.1,28
12.4,24
4.2,24.4
11.4,31.7
8.7,29.3
2.7,22.3
16.2,27.7
34.4,56.5
30.4,50
29.8,43.5
19.4,34.4
23.5,44.6
24.1,37.5
12.9,25.9
27.5,49.9
22.7,41.5
8.4,19.3
10,20.3
7.4,23.8
13.5,39.5
23.3,38.9
23.7,34.5
19.4,33.9
10.6,59
1,22.8
2.4,20.3
7.1,25.6
3.5,25
6.6,26.8
4.2,25.5
4.2,28
1.7,34.4
6.1,22.9
5.3,21.5
4.3,19.6
5,20.8
4,26.3
2.7,18
0,13.2
6.2,19
4.7,15.4
4.6,16.8
5.1,20.2
5.4,22.8
5,18.7
6.2,20
6,16.4
4.2,18
6,16.7
4.9,17.3
6.2,19.9
10.4,20.7
4.3,19.7
5.2,29
5.4,9.3
7.8,21
5.4,20.8
3.2,20
6.4,18.1
3.7,24.4
6.7,25.8
7.1,21.1
6.5,20.6
3.3,24.8
10.4,37.2
10.5,40.8
5.9,20.8
6.2,13.9
8.6,27
16.4,42
5.4,27.9
10.9,23.5
4.7,31.2
15.9,29.1
19.3,31.9
19.2,27.7
8,39.5
16,29.3
15.5,22.9
7.7,26.4
8.5,42.8
9.1,30.4
6.4,59.7
16.2,23.5
20.6,33
2.8,29
18.1,32
18.5,41.1
8.4,22.6
5.3,16.4
12.2,29.2
16.4,31.5
13.5,18.7
12.2,19.1
12.6,27.2
23.3,29
22.8,32.4
21.4,37.9
28.5,37.5
35.2,31
18.1,16.2
19.7,18.8
13.9,13.8
19.9,27.1
10.1,12
7.1,15.2
5.3,31.9
7.8,14.8
7.8,11.9
6,20.4
5.9,13.4
5.7,23.5
12.4,24.6
21.8,40.5
5.6,27.2
3.9,21.1
11,26
18.4,39.7
4.2,43.3
4.4,16.6
4.1,12.4
8.2,19.8
9.8,18.5
6.7,19.1
7.8,19.7
16.7,29.9
16.5,28.3
8.1,22.7
11.8,26.3
9.8,27.2
8.3,23.5
18.8,38.3
17.3,36.6
17.4,31.1
20.1,32.1
24,37.1
14.2,26.6
4.8,97.4
17.2,38.9
28.6,50.4
19.4,41.4
18.9,35.1
9.9,30.8
14.8,42.8
22.3,46.5
27.5,47.7
28.3,49.6
30.7,50.9
21.8,38.3
12.1,33.1
9.3,31.2
18.5,73.4
30.8,71.1
21,48.2
10.8,47.6
10.5,51.7
16.2,38
12.6,28.2
15.2,28.6
19.5,33.5
22.4,38.5
13.7,33.7
9.3,36.3
13.9,39
3.6,38.7
4.6,68.5
5.8,14
13,12.8
21.2,18.1
22.8,35.3
26.2,30
7.3,13.9
16.7,17.8
29,32.5
37.2,42.4
16.8,22.4
21.4,30.1
9.4,33.2
4.8,50.4
6.8,33.1
12.6,18.1
23.6,35.2
22.8,31.8
10.5,34.1
19.6,27.6
26.3,31.8
23.5,33.8
18.9,41.8
24.5,47.8
29.9,52.9
8.3,32.3
7.1,13.5
9.3,17.1
12.5,29
7.4,18
7.2,17.1
11.6,27.2
17.7,98.2
15.4,66
18.4,85.2
24.4,85.4
19.7,38.7
12.2,27.7
21.9,52.4
22.3,48.2
9.3,88.8
14.5,35.8
16.4,28.7
15.2,32.9
7.6,26.7
5.9,23.4
6.4,36.3
11.6,32
13.4,32.7
13,22.2
11.6,17
8.4,15.9
9.4,12.9
6.4,16.4
8.9,19.9
6.6,13.4
13.6,16.1
12.5,13.8
8.6,14.7
15.5,20.7
12.6,20.5
18.3,27.2
16.1,20.4
17,30.2
8.1,22.6
7.2,32.4
15.2,32.3
4.7,62.4
15.7,43.7
13.8,29.4
12.3,22.6
5.6,19.9
11,21.6
12,27.3
14.5,24.6
19.9,28.1
22.1,32.6
22.9,35
10.7,23.1
13.8,25.9
23.7,34.6
4.6,67
8.4,15
21.7,28.2
25.7,37.9
22.1,32.9
16.7,27.1
26.1,40
19.8,20.4
15.9,25.1
19.5,30.4
26.1,36.8
27.5,46.8
24.1,44.7
26,39.9
23.2,24.5
16.6,24
24.3,29.8
21.6,27.6
27.1,44.4
19,33.1
13.5,19.5
6.9,23.3
