nitrogen,radiation
6.7,0.287
5.4,0.412
4.4,0.361
3.9,0.379
3.4,0.402
9.3,0.105
6.2,0.286
4.8,0.249
7.7,0.409
4.8,0.398
12.3,0.394
5.5,0.272
9.7,0.398
13.8,0.343
9.8,0.377
9.1,0.392
15.4,0.385
13.1,0.389
17,0.383
11.9,0.305
10.4,0.312
9.6,0.358
5,0.352
7.9,0.334
4.7,0.265
4.9,0.101
21.5,0.278
17.2,0.329
7.5,0.332
9.7,0.306
11.1,0.337
11.3,0.347
5,0.293
9.3,0.351
10.8,0.347
12.6,0.34
7.3,0.241
2.2,0.231
1.5,0.256
13.8,0.304
14.1,0.319
18.1,0.323
14.7,0.302
21.1,0.317
13.4,0.321
9.2,0.318
9.8,0.318
12,0.316
14.8,0.31
3.9,0.296
17.3,0.295
20.3,0.282
20.7,0.289
29.9,0.274
16.2,0.247
12.7,0.284
16.9,0.277
19.2,0.243
20.6,0.271
21.6,0.272
15.1,0.264
11.9,0.194
9.9,0.186
4,0.065
5.2,0.142
7.4,0.154
12.8,0.247
10.9,0.241
6.2,0.251
10.7,0.247
7.5,0.187
10.4,0.237
10.8,0.219
11.2,0.24
16.5,0.241
17.6,0.242
25.8,0.216
4.3,0.231
8.5,0.237
7.6,0.233
18.5,0.228
15.3,0.093
6.9,0.23
21.9,0.226
10.2,0.203
3,0.158
10.6,0.159
1,0.198
1.2,0.209
1.8,0.086
15.3,0.214
15.2,0.408
14.9,0.295
8.4,0.387
8.7,0.399
5.8,0.37
10.9,0.367
19.2,0.372
8.7,0.352
4.5,0.325
0.7,0.381
9.1,0.389
17.8,0.381
16.4,0.379
6.7,0.365
4.2,0.329
5.4,0.362
2.4,0.355
4,0.36
4.3,0.353
6.8,0.37
6.6,0.368
9,0.355
3.3,0.276
3.8,0.357
14.7,0.364
10.2,0.29
2.3,0.147
2.7,0.243
3.2,0.239
3.8,0.27
8,0.342
10.2,0.344
9.3,0.332
2.7,0.27
3.5,0.265
8.1,0.322
15.8,0.341
7.4,0.338
6.6,0.326
3,0.318
10.8,0.314
18.2,0.298
15.9,0.292
6.1,0.27
2.5,0.314
10.4,0.303
21,0.291
20,0.194
9.6,0.274
8,0.276
6.1,0.294
10.7,0.298
14,0.295
2.7,0.285
20.2,0.285
11.7,0.282
0.5,0.274
4.8,0.272
12.6,0.275
6.5,0.261
12.5,0.258
10.6,0.238
13.8,0.263
12.3,0.225
13.6,0.111
9.1,0.255
16.1,0.243
14.1,0.2
13,0.177
15.1,0.236
21.1,0.238
16.2,0.234
7.2,0.214
19.2,0.221
21.2,0.235
13.4,0.236
27,0.23
14.5,0.221
4.5,0.19
5.6,0.214
14.2,0.212
16.1,0.207
14.9,0.214
13.7,0.219
9.1,0.22
17.8,0.217
30,0.214
34.8,0.212
4.6,0.21
12.6,0.165
17.5,0.2
5.1,0.304
2.9,0.292
3.8,0.389
7.2,0.435
8,0.31
7,0.245
6.2,0.208
7.9,0.422
5.6,0.42
10.6,0.42
12.4,0.417
15.8,0.416
12.9,0.413
4.6,0.411
0.9,0.41
0.2,0.405
2,0.399
3.3,0.394
2.6,0.354
6.1,0.147
4.2,0.386
6.4,0.374
15.5,0.393
20.8,0.392
7.5,0.319
0.6,0.343
13.1,0.374
22.2,0.374
10.1,0.367
8.1,0.373
5.9,0.283
5,0.341
6.4,0.366
7.2,0.358
6.4,0.355
3.3,0.32
1.7,0.245
9.4,0.091
6.9,0.33
18.7,0.35
18.7,0.299
7,0.076
5.5,0.232
7.5,0.286
1.8,0.123
2.6,0.148
3.5,0.11
4.7,0.059
3.2,0.246
3.6,0.253
3.2,0.22
9.2,0.211
8.7,0.074
10.4,0.283
14.8,0.327
20.3,0.317
18.3,0.311
17.4,0.301
16.9,0.289
7.7,0.154
7.9,0.141
11.1,0.271
15.5,0.291
8.9,0.282
10.9,0.274
11.7,0.278
12.3,0.278
16.1,0.276
12.4,0.275
4.2,0.249
11.4,0.23
8.7,0.259
2.7,0.238
16.2,0.261
34.4,0.252
30.4,0.259
29.8,0.252
19.4,0.254
23.5,0.236
24.1,0.242
12.9,0.242
27.5,0.238
22.7,0.132
8.4,0.233
10,0.208
7.4,0.235
13.5,0.23
23.3,0.236
23.7,0.235
19.4,0.211
10.6,0.167
1,0.42
2.4,0.431
7.1,0.431
3.5,0.404
6.6,0.31
4.2,0.362
4.2,0.429
1.7,0.43
6.1,0.371
5.3,0.355
4.3,0.406
5,0.425
4,0.301
2.7,0.241
0,0.207
6.2,0.302
4.7,0.357
4.6,0.398
5.1,0.36
5.4,0.396
5,0.103
6.2,0.326
6,0.387
4.2,0.367
6,0.378
4.9,0.387
6.2,0.375
10.4,0.383
4.3,0.383
5.2,0.228
5.4,0.199
7.8,0.347
5.4,0.293
3.2,0.226
6.4,0.356
3.7,0.344
6.7,0.267
7.1,0.35
6.5,0.356
3.3,0.35
10.4,0.342
10.5,0.324
5.9,0.233
6.2,0.319
8.6,0.334
16.4,0.328
5.4,0.279
10.9,0.326
4.7,0.325
15.9,0.328
19.3,0.324
19.2,0.317
8,0.306
16,0.31
15.5,0.316
7.7,0.308
8.5,0.267
9.1,0.299
6.4,0.227
16.2,0.304
20.6,0.297
2.8,0.261
18.1,0.27
18.5,0.267
8.4,0.173
5.3,0.12
12.2,0.136
16.4,0.258
13.5,0.138
12.2,0.263
12.6,0.259
23.3,0.254
22.8,0.224
21.4,0.184
28.5,0.255
35.2,0.181
18.1,0.241
19.7,0.163
13.9,0.214
19.9,0.242
10.1,0.21
7.1,0.121
5.3,0.186
7.8,0.057
7.8,0.112
6,0.218
5.9,0.176
5.7,0.411
12.4,0.445
21.8,0.445
5.6,0.441
3.9,0.438
11,0.433
18.4,0.41
4.2,0.396
4.4,0.21
4.1,0.253
8.2,0.323
9.8,0.274
6.7,0.31
7.8,0.233
16.7,0.377
16.5,0.38
8.1,0.383
11.8,0.35
9.8,0.386
8.3,0.382
18.8,0.367
17.3,0.371
17.4,0.367
20.1,0.386
24,0.383
14.2,0.381
4.8,0.369
17.2,0.377
28.6,0.38
19.4,0.377
18.9,0.367
9.9,0.367
14.8,0.359
22.3,0.355
27.5,0.356
28.3,0.35
30.7,0.348
21.8,0.351
12.1,0.351
9.3,0.346
18.5,0.334
30.8,0.334
21,0.342
10.8,0.329
10.5,0.329
16.2,0.325
12.6,0.327
15.2,0.307
19.5,0.324
22.4,0.316
13.7,0.315
9.3,0.308
13.9,0.303
3.6,0.26
4.6,0.295
5.8,0.126
13,0.303
21.2,0.297
22.8,0.289
26.2,0.231
7.3,0.234
16.7,0.291
29,0.281
37.2,0.271
16.8,0.283
21.4,0.257
9.4,0.27
4.8,0.195
6.8,0.252
12.6,0.257
23.6,0.265
22.8,0.264
10.5,0.26
19.6,0.263
26.3,0.259
23.5,0.246
18.9,0.238
24.5,0.236
29.9,0.232
8.3,0.213
7.1,0.331
9.3,0.39
12.5,0.401
7.4,0.382
7.2,0.17
11.6,0.421
17.7,0.396
15.4,0.369
18.4,0.42
24.4,0.418
19.7,0.397
12.2,0.4
21.9,0.411
22.3,0.411
9.3,0.36
14.5,0.401
16.4,0.405
15.2,0.404
7.6,0.403
5.9,0.402
6.4,0.396
11.6,0.363
13.4,0.31
13,0.33
11.6,0.191
8.4,0.354
9.4,0.368
6.4,0.351
8.9,0.366
6.6,0.25
13.6,0.377
12.5,0.381
8.6,0.368
15.5,0.372
12.6,0.354
18.3,0.358
16.1,0.356
17,0.357
8.1,0.368
7.2,0.366
15.2,0.353
4.7,0.336
15.7,0.35
13.8,0.353
12.3,0.354
5.6,0.338
11,0.326
12,0.325
14.5,0.331
19.9,0.328
22.1,0.321
22.9,0.308
10.7,0.32
13.8,0.317
23.7,0.312
4.6,0.296
8.4,0.318
21.7,0.311
25.7,0.307
22.1,0.303
16.7,0.279
26.1,0.294
19.8,0.288
15.9,0.289
19.5,0.285
26.1,0.285
27.5,0.282
24.1,0.277
26,0.182
23.2,0.279
16.6,0.257
24.3,0.277
21.6,0.273
27.1,0.267
19,0.27
13.5,0.269
6.9,0.372
